"","date","daily_vaccines"
"128","2024-12-05","[[0.002847, 0.002847],[0.002268, 0.002268],[0.001327, 0.001327],[0.001298, 0.001298],[0.003845, 0.003845]]"
"129","2024-12-06","[[0.002806, 0.002806],[0.002226, 0.002226],[0.001294, 0.001294],[0.001246, 0.001246],[0.003802, 0.003802]]"
"130","2024-12-07","[[0.002765, 0.002765],[0.002185, 0.002185],[0.001261, 0.001261],[0.001195, 0.001195],[0.003757, 0.003757]]"
"131","2024-12-08","[[0.002724, 0.002724],[0.002143, 0.002143],[0.001228, 0.001228],[0.001146, 0.001146],[0.003712, 0.003712]]"
"132","2024-12-09","[[0.002683, 0.002683],[0.002102, 0.002102],[0.001196, 0.001196],[0.001099, 0.001099],[0.003666, 0.003666]]"
"133","2024-12-10","[[0.002642, 0.002642],[0.002061, 0.002061],[0.001164, 0.001164],[0.001053, 0.001053],[0.003619, 0.003619]]"
"134","2024-12-11","[[0.002601, 0.002601],[0.00202, 0.00202],[0.001133, 0.001133],[0.001009, 0.001009],[0.003572, 0.003572]]"
"135","2024-12-12","[[0.002559, 0.002559],[0.00198, 0.00198],[0.001103, 0.001103],[0.000966, 0.000966],[0.003525, 0.003525]]"
"136","2024-12-13","[[0.002518, 0.002518],[0.001939, 0.001939],[0.001072, 0.001072],[0.000925, 0.000925],[0.003476, 0.003476]]"
"137","2024-12-14","[[0.002477, 0.002477],[0.0019, 0.0019],[0.001043, 0.001043],[0.000886, 0.000886],[0.003428, 0.003428]]"
"138","2024-12-15","[[0.002436, 0.002436],[0.00186, 0.00186],[0.001014, 0.001014],[0.000848, 0.000848],[0.003379, 0.003379]]"
"139","2024-12-16","[[0.002395, 0.002395],[0.001821, 0.001821],[0.000985, 0.000985],[0.000811, 0.000811],[0.00333, 0.00333]]"
"140","2024-12-17","[[0.002354, 0.002354],[0.001783, 0.001783],[0.000957, 0.000957],[0.000776, 0.000776],[0.00328, 0.00328]]"
"141","2024-12-18","[[0.002314, 0.002314],[0.001745, 0.001745],[0.00093, 0.00093],[0.000742, 0.000742],[0.003231, 0.003231]]"
"142","2024-12-19","[[0.002273, 0.002273],[0.001707, 0.001707],[0.000903, 0.000903],[0.000709, 0.000709],[0.003181, 0.003181]]"
"143","2024-12-20","[[0.002233, 0.002233],[0.00167, 0.00167],[0.000877, 0.000877],[0.000678, 0.000678],[0.003131, 0.003131]]"
