"","date","daily_vaccines"
"125","2023-12-02","[[0.004296, 0.004296],[0.003502, 0.003502],[0.00263, 0.00263],[0.002305, 0.002305],[0.005228, 0.005228]]"
"126","2023-12-03","[[0.004208, 0.004208],[0.003444, 0.003444],[0.002618, 0.002618],[0.002207, 0.002207],[0.00507, 0.00507]]"
"127","2023-12-04","[[0.00412, 0.00412],[0.003386, 0.003386],[0.002605, 0.002605],[0.002112, 0.002112],[0.004914, 0.004914]]"
"128","2023-12-05","[[0.004033, 0.004033],[0.003329, 0.003329],[0.002591, 0.002591],[0.00202, 0.00202],[0.00476, 0.00476]]"
"129","2023-12-06","[[0.003946, 0.003946],[0.003271, 0.003271],[0.002577, 0.002577],[0.001931, 0.001931],[0.004609, 0.004609]]"
"130","2023-12-07","[[0.003859, 0.003859],[0.003213, 0.003213],[0.002562, 0.002562],[0.001845, 0.001845],[0.004461, 0.004461]]"
"131","2023-12-08","[[0.003773, 0.003773],[0.003156, 0.003156],[0.002546, 0.002546],[0.001762, 0.001762],[0.004315, 0.004315]]"
"132","2023-12-09","[[0.003688, 0.003688],[0.003098, 0.003098],[0.00253, 0.00253],[0.001682, 0.001682],[0.004172, 0.004172]]"
"133","2023-12-10","[[0.003603, 0.003603],[0.003041, 0.003041],[0.002513, 0.002513],[0.001606, 0.001606],[0.004032, 0.004032]]"
"134","2023-12-11","[[0.003519, 0.003519],[0.002985, 0.002985],[0.002495, 0.002495],[0.001532, 0.001532],[0.003895, 0.003895]]"
"135","2023-12-12","[[0.003436, 0.003436],[0.002928, 0.002928],[0.002477, 0.002477],[0.001461, 0.001461],[0.003762, 0.003762]]"
"136","2023-12-13","[[0.003354, 0.003354],[0.002872, 0.002872],[0.002458, 0.002458],[0.001393, 0.001393],[0.003631, 0.003631]]"
"137","2023-12-14","[[0.003273, 0.003273],[0.002816, 0.002816],[0.002438, 0.002438],[0.001327, 0.001327],[0.003504, 0.003504]]"
"138","2023-12-15","[[0.003193, 0.003193],[0.00276, 0.00276],[0.002418, 0.002418],[0.001265, 0.001265],[0.00338, 0.00338]]"
"139","2023-12-16","[[0.003114, 0.003114],[0.002706, 0.002706],[0.002398, 0.002398],[0.001205, 0.001205],[0.003259, 0.003259]]"
"140","2023-12-17","[[0.003036, 0.003036],[0.002651, 0.002651],[0.002377, 0.002377],[0.001147, 0.001147],[0.003141, 0.003141]]"
"141","2023-12-18","[[0.00296, 0.00296],[0.002597, 0.002597],[0.002355, 0.002355],[0.001092, 0.001092],[0.003027, 0.003027]]"
