"","date","daily_vaccines"
"126","2024-12-03","[[0.004808, 0.004808],[0.003535, 0.003535],[0.001667, 0.001667],[0.001681, 0.001681],[0.004695, 0.004695]]"
"127","2024-12-04","[[0.004742, 0.004742],[0.003472, 0.003472],[0.001626, 0.001626],[0.001615, 0.001615],[0.004644, 0.004644]]"
"128","2024-12-05","[[0.004676, 0.004676],[0.003409, 0.003409],[0.001585, 0.001585],[0.00155, 0.00155],[0.004593, 0.004593]]"
"129","2024-12-06","[[0.004609, 0.004609],[0.003346, 0.003346],[0.001545, 0.001545],[0.001488, 0.001488],[0.004541, 0.004541]]"
"130","2024-12-07","[[0.004542, 0.004542],[0.003284, 0.003284],[0.001506, 0.001506],[0.001427, 0.001427],[0.004488, 0.004488]]"
"131","2024-12-08","[[0.004474, 0.004474],[0.003221, 0.003221],[0.001467, 0.001467],[0.001369, 0.001369],[0.004434, 0.004434]]"
"132","2024-12-09","[[0.004407, 0.004407],[0.003159, 0.003159],[0.001429, 0.001429],[0.001312, 0.001312],[0.004379, 0.004379]]"
"133","2024-12-10","[[0.004339, 0.004339],[0.003098, 0.003098],[0.001391, 0.001391],[0.001258, 0.001258],[0.004323, 0.004323]]"
"134","2024-12-11","[[0.004272, 0.004272],[0.003036, 0.003036],[0.001354, 0.001354],[0.001205, 0.001205],[0.004267, 0.004267]]"
"135","2024-12-12","[[0.004204, 0.004204],[0.002976, 0.002976],[0.001317, 0.001317],[0.001154, 0.001154],[0.00421, 0.00421]]"
"136","2024-12-13","[[0.004136, 0.004136],[0.002915, 0.002915],[0.001281, 0.001281],[0.001105, 0.001105],[0.004152, 0.004152]]"
"137","2024-12-14","[[0.004069, 0.004069],[0.002856, 0.002856],[0.001246, 0.001246],[0.001058, 0.001058],[0.004095, 0.004095]]"
"138","2024-12-15","[[0.004001, 0.004001],[0.002796, 0.002796],[0.001211, 0.001211],[0.001013, 0.001013],[0.004036, 0.004036]]"
"139","2024-12-16","[[0.003934, 0.003934],[0.002738, 0.002738],[0.001177, 0.001177],[0.000969, 0.000969],[0.003977, 0.003977]]"
"140","2024-12-17","[[0.003867, 0.003867],[0.00268, 0.00268],[0.001143, 0.001143],[0.000927, 0.000927],[0.003918, 0.003918]]"
"141","2024-12-18","[[0.0038, 0.0038],[0.002622, 0.002622],[0.00111, 0.00111],[0.000886, 0.000886],[0.003859, 0.003859]]"
"142","2024-12-19","[[0.003734, 0.003734],[0.002566, 0.002566],[0.001078, 0.001078],[0.000847, 0.000847],[0.0038, 0.0038]]"
"143","2024-12-20","[[0.003667, 0.003667],[0.00251, 0.00251],[0.001047, 0.001047],[0.00081, 0.00081],[0.00374, 0.00374]]"
"144","2024-12-21","[[0.003602, 0.003602],[0.002454, 0.002454],[0.001016, 0.001016],[0.000774, 0.000774],[0.00368, 0.00368]]"
"145","2024-12-22","[[0.003536, 0.003536],[0.0024, 0.0024],[0.000986, 0.000986],[0.00074, 0.00074],[0.00362, 0.00362]]"
"146","2024-12-23","[[0.003471, 0.003471],[0.002346, 0.002346],[0.000957, 0.000957],[0.000707, 0.000707],[0.003561, 0.003561]]"
"147","2024-12-24","[[0.003407, 0.003407],[0.002293, 0.002293],[0.000928, 0.000928],[0.000675, 0.000675],[0.003501, 0.003501]]"
"148","2024-12-25","[[0.003343, 0.003343],[0.00224, 0.00224],[0.0009, 0.0009],[0.000645, 0.000645],[0.003441, 0.003441]]"
"149","2024-12-26","[[0.00328, 0.00328],[0.002189, 0.002189],[0.000873, 0.000873],[0.000615, 0.000615],[0.003382, 0.003382]]"
"150","2024-12-27","[[0.003217, 0.003217],[0.002138, 0.002138],[0.000846, 0.000846],[0.000588, 0.000588],[0.003322, 0.003322]]"
"151","2024-12-28","[[0.003155, 0.003155],[0.002088, 0.002088],[0.00082, 0.00082],[0.000561, 0.000561],[0.003263, 0.003263]]"
"152","2024-12-29","[[0.003093, 0.003093],[0.002039, 0.002039],[0.000795, 0.000795],[0.000535, 0.000535],[0.003204, 0.003204]]"
"153","2024-12-30","[[0.003032, 0.003032],[0.00199, 0.00199],[0.00077, 0.00077],[0.000511, 0.000511],[0.003146, 0.003146]]"
"154","2024-12-31","[[0.002972, 0.002972],[0.001943, 0.001943],[0.000746, 0.000746],[0.000487, 0.000487],[0.003088, 0.003088]]"
"155","2025-01-01","[[0.002912, 0.002912],[0.001896, 0.001896],[0.000722, 0.000722],[0.000465, 0.000465],[0.00303, 0.00303]]"
"156","2025-01-02","[[0.002854, 0.002854],[0.00185, 0.00185],[0.0007, 0.0007],[0.000444, 0.000444],[0.002973, 0.002973]]"
"157","2025-01-03","[[0.002795, 0.002795],[0.001805, 0.001805],[0.000677, 0.000677],[0.000423, 0.000423],[0.002916, 0.002916]]"
"158","2025-01-04","[[0.002738, 0.002738],[0.001761, 0.001761],[0.000656, 0.000656],[0.000404, 0.000404],[0.002859, 0.002859]]"
"159","2025-01-05","[[0.002681, 0.002681],[0.001718, 0.001718],[0.000635, 0.000635],[0.000385, 0.000385],[0.002803, 0.002803]]"
"160","2025-01-06","[[0.002625, 0.002625],[0.001675, 0.001675],[0.000614, 0.000614],[0.000367, 0.000367],[0.002748, 0.002748]]"
"161","2025-01-07","[[0.00257, 0.00257],[0.001633, 0.001633],[0.000595, 0.000595],[0.00035, 0.00035],[0.002693, 0.002693]]"
"162","2025-01-08","[[0.002516, 0.002516],[0.001593, 0.001593],[0.000575, 0.000575],[0.000334, 0.000334],[0.002638, 0.002638]]"
"163","2025-01-09","[[0.002462, 0.002462],[0.001552, 0.001552],[0.000557, 0.000557],[0.000318, 0.000318],[0.002585, 0.002585]]"
"164","2025-01-10","[[0.002409, 0.002409],[0.001513, 0.001513],[0.000538, 0.000538],[0.000303, 0.000303],[0.002532, 0.002532]]"
"165","2025-01-11","[[0.002357, 0.002357],[0.001475, 0.001475],[0.000521, 0.000521],[0.000289, 0.000289],[0.002479, 0.002479]]"
"166","2025-01-12","[[0.002306, 0.002306],[0.001437, 0.001437],[0.000504, 0.000504],[0.000275, 0.000275],[0.002427, 0.002427]]"
"167","2025-01-13","[[0.002256, 0.002256],[0.0014, 0.0014],[0.000487, 0.000487],[0.000262, 0.000262],[0.002376, 0.002376]]"
"168","2025-01-14","[[0.002206, 0.002206],[0.001364, 0.001364],[0.000471, 0.000471],[0.00025, 0.00025],[0.002325, 0.002325]]"
"169","2025-01-15","[[0.002157, 0.002157],[0.001329, 0.001329],[0.000455, 0.000455],[0.000238, 0.000238],[0.002275, 0.002275]]"
"170","2025-01-16","[[0.002109, 0.002109],[0.001294, 0.001294],[0.00044, 0.00044],[0.000227, 0.000227],[0.002226, 0.002226]]"
"171","2025-01-17","[[0.002062, 0.002062],[0.00126, 0.00126],[0.000425, 0.000425],[0.000216, 0.000216],[0.002178, 0.002178]]"
"172","2025-01-18","[[0.002015, 0.002015],[0.001227, 0.001227],[0.000411, 0.000411],[0.000206, 0.000206],[0.00213, 0.00213]]"
"173","2025-01-19","[[0.00197, 0.00197],[0.001195, 0.001195],[0.000397, 0.000397],[0.000196, 0.000196],[0.002083, 0.002083]]"
"174","2025-01-20","[[0.001925, 0.001925],[0.001164, 0.001164],[0.000384, 0.000384],[0.000187, 0.000187],[0.002036, 0.002036]]"
"175","2025-01-21","[[0.001881, 0.001881],[0.001133, 0.001133],[0.000371, 0.000371],[0.000178, 0.000178],[0.001991, 0.001991]]"
"176","2025-01-22","[[0.001838, 0.001838],[0.001103, 0.001103],[0.000359, 0.000359],[0.00017, 0.00017],[0.001946, 0.001946]]"
"177","2025-01-23","[[0.001796, 0.001796],[0.001073, 0.001073],[0.000346, 0.000346],[0.000162, 0.000162],[0.001902, 0.001902]]"
"178","2025-01-24","[[0.001754, 0.001754],[0.001044, 0.001044],[0.000335, 0.000335],[0.000154, 0.000154],[0.001858, 0.001858]]"
"179","2025-01-25","[[0.001713, 0.001713],[0.001016, 0.001016],[0.000323, 0.000323],[0.000147, 0.000147],[0.001816, 0.001816]]"
"180","2025-01-26","[[0.001673, 0.001673],[0.000989, 0.000989],[0.000312, 0.000312],[0.00014, 0.00014],[0.001774, 0.001774]]"
"181","2025-01-27","[[0.001634, 0.001634],[0.000962, 0.000962],[0.000302, 0.000302],[0.000133, 0.000133],[0.001732, 0.001732]]"
"182","2025-01-28","[[0.001595, 0.001595],[0.000936, 0.000936],[0.000291, 0.000291],[0.000127, 0.000127],[0.001692, 0.001692]]"
"183","2025-01-29","[[0.001558, 0.001558],[0.000911, 0.000911],[0.000281, 0.000281],[0.000121, 0.000121],[0.001652, 0.001652]]"
"184","2025-01-30","[[0.001521, 0.001521],[0.000886, 0.000886],[0.000272, 0.000272],[0.000115, 0.000115],[0.001613, 0.001613]]"
"185","2025-01-31","[[0.001484, 0.001484],[0.000862, 0.000862],[0.000262, 0.000262],[0.000109, 0.000109],[0.001575, 0.001575]]"
"186","2025-02-01","[[0.001449, 0.001449],[0.000838, 0.000838],[0.000253, 0.000253],[0.000104, 0.000104],[0.001537, 0.001537]]"
"187","2025-02-02","[[0.001414, 0.001414],[0.000815, 0.000815],[0.000244, 0.000244],[0.000099, 0.000099],[0.001501, 0.001501]]"
"188","2025-02-03","[[0.00138, 0.00138],[0.000793, 0.000793],[0.000236, 0.000236],[0.000094, 0.000094],[0.001464, 0.001464]]"
