"","date","daily_vaccines"
"141","2024-12-18","[[0.002449, 0.002449],[0.001714, 0.001714],[0.000746, 0.000746],[0.000799, 0.000799],[0.00293, 0.00293]]"
"142","2024-12-19","[[0.002406, 0.002406],[0.001677, 0.001677],[0.000724, 0.000724],[0.000764, 0.000764],[0.002885, 0.002885]]"
"143","2024-12-20","[[0.002363, 0.002363],[0.00164, 0.00164],[0.000703, 0.000703],[0.000731, 0.000731],[0.00284, 0.00284]]"
"144","2024-12-21","[[0.002321, 0.002321],[0.001604, 0.001604],[0.000683, 0.000683],[0.000698, 0.000698],[0.002795, 0.002795]]"
"145","2024-12-22","[[0.002279, 0.002279],[0.001568, 0.001568],[0.000662, 0.000662],[0.000667, 0.000667],[0.002749, 0.002749]]"
"146","2024-12-23","[[0.002237, 0.002237],[0.001533, 0.001533],[0.000643, 0.000643],[0.000637, 0.000637],[0.002704, 0.002704]]"
"147","2024-12-24","[[0.002195, 0.002195],[0.001498, 0.001498],[0.000623, 0.000623],[0.000609, 0.000609],[0.002658, 0.002658]]"
"148","2024-12-25","[[0.002154, 0.002154],[0.001464, 0.001464],[0.000605, 0.000605],[0.000581, 0.000581],[0.002613, 0.002613]]"
"149","2024-12-26","[[0.002113, 0.002113],[0.00143, 0.00143],[0.000586, 0.000586],[0.000555, 0.000555],[0.002568, 0.002568]]"
"150","2024-12-27","[[0.002073, 0.002073],[0.001397, 0.001397],[0.000568, 0.000568],[0.00053, 0.00053],[0.002523, 0.002523]]"
"151","2024-12-28","[[0.002033, 0.002033],[0.001365, 0.001365],[0.000551, 0.000551],[0.000506, 0.000506],[0.002478, 0.002478]]"
"152","2024-12-29","[[0.001993, 0.001993],[0.001332, 0.001332],[0.000534, 0.000534],[0.000483, 0.000483],[0.002433, 0.002433]]"
"153","2024-12-30","[[0.001954, 0.001954],[0.001301, 0.001301],[0.000517, 0.000517],[0.000461, 0.000461],[0.002389, 0.002389]]"
"154","2024-12-31","[[0.001915, 0.001915],[0.00127, 0.00127],[0.000501, 0.000501],[0.00044, 0.00044],[0.002345, 0.002345]]"
"155","2025-01-01","[[0.001877, 0.001877],[0.001239, 0.001239],[0.000485, 0.000485],[0.000419, 0.000419],[0.002301, 0.002301]]"
"156","2025-01-02","[[0.001839, 0.001839],[0.001209, 0.001209],[0.00047, 0.00047],[0.0004, 0.0004],[0.002257, 0.002257]]"
"157","2025-01-03","[[0.001801, 0.001801],[0.00118, 0.00118],[0.000455, 0.000455],[0.000382, 0.000382],[0.002214, 0.002214]]"
"158","2025-01-04","[[0.001764, 0.001764],[0.001151, 0.001151],[0.000441, 0.000441],[0.000364, 0.000364],[0.002171, 0.002171]]"
