day,ref_total,generic_total,diff_total,ref_0,generic_0,ref_1-4,generic_1-4,ref_5-12,generic_5-12,ref_13-17,generic_13-17,ref_18-49,generic_18-49,ref_50-64,generic_50-64,ref_65+,generic_65+
64,2.27120779687799,9.586386229609909,7.315178432731919,0.013761579896897622,0.05859367323898532,0.07227031343974777,0.3152298610259164,0.07151115336087085,0.3213151859302202,0.035180099304900576,0.15813535760466962,0.24922234760189907,1.0878908356153212,0.2547052877993439,1.103684647915668,1.5745570154743302,6.541536668279129
65,2.238054670640858,9.68366036743911,7.445605696798252,0.01352638666893693,0.05930584389672603,0.07124212259359566,0.31738629778587624,0.07114646043540972,0.3230759483496504,0.03505064283233071,0.1591304109881986,0.24672706451606147,1.0986330223961611,0.2515865856849656,1.1146059918224043,1.5487754079095577,6.611522852200093
66,2.230355390427636,9.910055299359813,7.679699908932177,0.013236905933184577,0.060010923816369445,0.0714519107589462,0.32579195614261636,0.07373134861923028,0.33855317665645956,0.03641364023546543,0.16706479381010947,0.2501514407914465,1.136628713857861,0.2531641409636394,1.1475331152435517,1.5322060031257234,6.734472619832846
67,2.227972074232172,10.176268531621375,7.948296457389203,0.012954734115271605,0.0606842674330681,0.07188126429119396,0.3361278822446887,0.07673249273371648,0.3584576746464021,0.03798667083616477,0.17724715283441095,0.2545215472397592,1.1835214334365776,0.25554690186453694,1.187545011592851,1.518348463151529,6.872685109433378
68,2.2596530216998683,10.568732801481826,8.309079779781957,0.012901197633540945,0.06204423646533959,0.07342255625663378,0.3508657466067198,0.08082688915446933,0.38398736132609484,0.04010419470703075,0.19025476998410454,0.26251269276546474,1.2464545365718613,0.2616390559629763,1.2429122655052058,1.5282464352197525,7.092213885022499
69,2.3079507977251765,11.042957730214951,8.735006932489775,0.012996638459939184,0.06396045641403861,0.07549111971768743,0.36839734609526675,0.08525278538263589,0.41256644193998776,0.04238668603470096,0.20480069863063635,0.2718506500898221,1.3186300985751205,0.2692665578413995,1.3074828834282433,1.5507063601989917,7.367119805131658
70,2.26509089809887,11.201359812519312,8.936268914420442,0.013170165795358572,0.06623757006667476,0.07254542686382764,0.3681034630517435,0.0778847524380328,0.39885973802248875,0.038654079978463,0.19781117960569017,0.25980660660502547,1.3150378030071512,0.26036000104466783,1.3138166961633497,1.542669865373495,7.541493362602214
71,2.2189563338473124,11.305900688693807,9.086944354846494,0.013491072745774272,0.06916779184468325,0.06897883865791016,0.36292353844996317,0.06816546371054225,0.37005789967604336,0.03370721349140282,0.1830820919716237,0.24464780066144082,1.2888903092211006,0.2495483920368449,1.304851634529453,1.5404175525433972,7.726927423000941
72,2.2679069522731194,11.782029483110001,9.514122530836882,0.013722165224528186,0.07213942846703093,0.07060792676428441,0.37710483448848475,0.07078369394193385,0.3849499322097084,0.03506792246232362,0.19065364822868436,0.25186386296358637,1.3443939471693538,0.2560055504895584,1.3601465871097125,1.5698558304269046,8.052641105437027
73,2.376533447851756,12.58412395981654,10.207590511964785,0.014063858570165701,0.07594801083329356,0.07451300348355408,0.40417794139265095,0.07765239932948365,0.4232268800601771,0.03858670475731277,0.21009857753646163,0.26946549856352914,1.4553406377944456,0.2714131125411282,1.4633637653705553,1.6308388706065826,8.551968146828957
74,2.5029670855546513,13.527334756184406,11.024367670629754,0.014475470723589479,0.08019194938810974,0.0790387618041748,0.4365492538162702,0.08548555238843339,0.47068978958989516,0.04259752064880568,0.23422451060442745,0.289680363942188,1.5894241729317617,0.2891876844693427,1.5868612285735608,1.7025017315781172,9.12939385128038
75,2.6544476743806475,14.61787844068325,11.9634307663026,0.015069517102643894,0.08523358559117203,0.0843956129649496,0.4740244714201928,0.09418226144281498,0.5250814480870148,0.04704969409176452,0.2618870355455765,0.31257769270495567,1.743142715659138,0.30966705670389005,1.7287633780061613,1.7915058393696288,9.799745806373993
76,2.857160970709972,15.975024564703347,13.117863593993375,0.016007121245729363,0.09188504661842825,0.09143122674850071,0.5204068526038983,0.10469782650685508,0.5902158886681869,0.05242553615018326,0.29500866295849837,0.34120671283081744,1.9295230406526422,0.3358618803416825,1.9022927783901593,1.9155306668862033,10.645692294811532
77,2.9576141069434287,16.961866088799006,14.004251981855578,0.017261901627134712,0.10027887912354301,0.09224002948872578,0.5421575843072393,0.09904928751298292,0.5887300727908876,0.04947237762784025,0.29384184709262573,0.34140346322168874,2.0025546328980806,0.34109799701056215,1.9942131995321764,2.0170890504544943,11.440089873054452
78,3.051743274173769,17.902095377314694,14.850352103140924,0.018744455047610336,0.11016605109212614,0.0920207164275143,0.556799722373547,0.08970557511408678,0.5622474038434261,0.04459938269229721,0.27973962778469047,0.3365578439776966,2.0406842030237793,0.3432070785638845,2.064458274744405,2.1269082223506794,12.288000094452721
79,3.3527538390472658,19.83295320486375,16.480199365816482,0.02036948246264296,0.12172738141028366,0.10144137259431577,0.6153870125426664,0.10166716293406414,0.6265799185460675,0.050715820605402064,0.3123731523012378,0.3750138318447839,2.2714436736800927,0.3798450854929762,2.2920520855560875,2.3237010831130807,13.593389980827311
80,3.6714138613393215,22.089344731976396,18.417930870637075,0.02173032883973486,0.1332342792353523,0.1117273021705987,0.6873242777614587,0.11706209865111633,0.7215248774728698,0.05862494409963777,0.36084244435318025,0.4208649572082169,2.572875934335339,0.4217028206104272,2.576343932035362,2.51970140975959,15.037198986782835
81,4.056636636181647,24.76114466252627,20.704508026344623,0.023405724968910267,0.14635383987420514,0.12410752948910557,0.7730260061965972,0.13548175298547285,0.8386899607254665,0.0681032701526762,0.4208052578941352,0.47602176881052677,2.93845363069203,0.47210397866952436,2.9178156603529217,2.7574126111054307,16.726000306790915
82,4.531594836766965,27.976258091571324,23.44466325480436,0.025645741783994223,0.16243492159845418,0.13929324137158358,0.8759360099600613,0.15727883139081344,0.9788079199454061,0.07933932296509141,0.49266221712212765,0.5421326992750342,3.3766557042080323,0.5330239906776089,3.3272291568177725,3.0548810093028393,18.76253216191947
83,5.07193287798989,31.65948492559743,26.587552047607538,0.028350026758570415,0.18137913676070858,0.15651659592999537,0.9935196027651916,0.18144408356058037,1.137611562589831,0.09183143119464744,0.5743093765527365,0.6159457731326339,3.8753007664956365,0.6013668830578889,3.7936401986681254,3.3964780843555733,21.1037242817652
84,5.43048095195764,34.62378761826448,29.19330666630684,0.03179999150072024,0.20476440585170086,0.1626654280193521,1.062296300862361,0.17555989828928503,1.158427448459934,0.08860978240186246,0.5839507040161234,0.6348711664203648,4.130567410747139,0.6302270083610462,4.089400545427148,3.7067476769650094,23.394380802900073
